freq	freq_mln	orth_pres	orth_past	ipa_pres	ipa_past	Infl
1	0	afforest	afforested	&fOrIst	&fOrIstId	reg
6	0	affront	affronted	@frVnt	@frVntId	reg
3	0	age	aged	eIdZ	eIdZd	reg
7	0	aggravate	aggravated	&gr@veIt	&gr@veItId	reg
1	0	aggregate	aggregated	&grIgeIt	&grIgeItId	reg
1	0	aggrieve	aggrieved	@gri:v	@gri:vd	reg
2	0	agitate	agitated	&dZIteIt	&dZIteItId	reg
3	0	agonize	agonized	&g@naIz	&g@naIzd	reg
352	20	agree	agreed	@gri:	@gri:d	reg
18	1	aid	aided	eId	eIdId	reg
1	0	ail	ailed	eIl	eIld	reg
67	4	aim	aimed	eIm	eImd	reg
4	0	air	aired	E@r*	E@d	reg
1	0	airlift	airlifted	E@lIft	E@lIftId	reg
45	3	alarm	alarmed	@lA:m	@lA:md	reg
15	1	alert	alerted	@l3:t	@l3:tId	reg
21	1	alienate	alienated	eIlj@neIt	eIlj@neItId	reg
3	0	alight	alighted	@laIt	@laItId	reg
5	0	align	aligned	@laIn	@laInd	reg
1	0	allay	allayed	@leI	@leId	reg
55	3	allege	alleged	@lEdZ	@lEdZd	reg
3	0	alleviate	alleviated	@li:vIeIt	@li:vIeItId	reg
10	1	ally	allied	@laI	@laId	reg
19	1	allocate	allocated	&l@UkeIt	&l@UkeItId	reg
17	1	allot	allotted	@lOt	@lOtId	reg
474	26	allow	allowed	@laU	@laUd	reg
60	3	alter	altered	O:lt@r*	O:lt@d	reg
6	0	alternate	alternated	O:lt@neIt	O:lt@neItId	reg
6	0	amalgamate	amalgamated	@m&lg@meIt	@m&lg@meItId	reg
5	0	amass	amassed	@m&s	@m&st	reg
55	3	amaze	amazed	@meIz	@meIzd	reg
4	0	amble	ambled	&mbl,	&mbl,d	reg
4	0	ambush	ambushed	&mbUS	&mbUSt	reg
1	0	ameliorate	ameliorated	@mi:lj@reIt	@mi:lj@reItId	reg
10	1	amend	amended	@mEnd	@mEndId	reg
1	0	americanize	americanized	@mErIk@naIz	@mErIk@naIzd	reg
1	0	amortize	amortized	@mO:taIz	@mO:taIzd	reg
9	1	amplify	amplified	&mplIfaI	&mplIfaId	reg
5	0	amputate	amputated	&mpjUteIt	&mpjUteItId	reg
65	4	amuse	amused	@mju:z	@mju:zd	reg
3	0	anaesthetize	anaesthetized	&ni:sT@taIz	&ni:sT@taIzd	reg
26	1	analyse	analysed	&n@laIz	&n@laIzd	reg
11	1	anchor	anchored	&Nk@r*	&Nk@d	reg
14	1	anger	angered	&Ng@r*	&Ng@d	reg
5	0	angle	angled	&Ngl,	&Ngl,d	reg
2	0	anglicize	anglicized	&NglIsaIz	&NglIsaIzd	reg
18	1	animate	animated	&nImeIt	&nImeItId	reg
4	0	annex	annexed	@nEks	@nEkst	reg
3	0	annihilate	annihilated	@naI@leIt	@naI@leItId	reg
2	0	annotate	annotated	&n@UteIt	&n@UteItId	reg
199	11	announce	announced	@naUns	@naUnst	reg
45	3	annoy	annoyed	@nOI	@nOId	reg
1	0	annul	annulled	@nVl	@nVld	reg
5	0	anoint	anointed	@nOInt	@nOIntId	reg
280	16	answer	answered	A:ns@r*	A:ns@d	reg
1	0	antagonize	antagonized	&nt&g@naIz	&nt&g@naIzd	reg
1	0	antedate	antedated	&ntIdeIt	&ntIdeItId	reg
36	2	anticipate	anticipated	&ntIsIpeIt	&ntIsIpeItId	reg
1	0	ape	aped	eIp	eIpt	reg
19	1	apologize	apologized	@pOl@dZaIz	@pOl@dZaIzd	reg
32	2	appal	appalled	@pO:l	@pO:ld	reg
33	2	appeal	appealed	@pi:l	@pi:ld	reg
440	25	appear	appeared	@pI@r*	@pI@d	reg
5	0	appease	appeased	@pi:z	@pi:zd	reg
2	0	append	appended	@pEnd	@pEndId	reg
15	1	applaud	applauded	@plO:d	@plO:dId	reg
146	8	apply	applied	@plaI	@plaId	reg
70	4	appoint	appointed	@pOInt	@pOIntId	reg
1	0	apportion	apportioned	@pO:Sn,	@pO:Sn,d	reg
2	0	appraise	appraised	@preIz	@preIzd	reg
38	2	appreciate	appreciated	@pri:SIeIt	@pri:SIeItId	reg
4	0	apprehend	apprehended	&prIhEnd	&prIhEndId	reg
2	0	apprentice	apprenticed	@prEntIs	@prEntIst	reg
2	0	apprise	apprised	@praIz	@praIzd	reg
107	6	approach	approached	@pr@UtS	@pr@UtSt	reg
8	0	appropriate	appropriated	@pr@UprIeIt	@pr@UprIeItId	reg
105	6	approve	approved	@pru:v	@pru:vd	reg
3	0	approximate	approximated	@prOksImeIt	@prOksImeItId	reg
18	1	arch	arched	A:tS	A:tSt	reg
187	10	argue	argued	A:gju:	A:gju:d	reg
10	1	arm	armed	A:m	A:md	reg
65	4	arise	arose	@raIz	@r@Uz	irreg
46	3	arouse	aroused	@raUz	@raUzd	reg
2	0	arraign	arraigned	@reIn	@reInd	reg
177	10	arrange	arranged	@reIndZ	@reIndZd	reg
3	0	array	arrayed	@reI	@reId	reg
92	5	arrest	arrested	@rEst	@rEstId	reg
396	22	arrive	arrived	@raIv	@raIvd	reg
1	0	arrogate	arrogated	&r@UgeIt	&r@UgeItId	reg
2	0	article	articled	A:tIkl,	A:tIkl,d	reg
6	0	articulate	articulated	A:tIkjUleIt	A:tIkjUleItId	reg
8	0	ascend	ascended	@sEnd	@sEndId	reg
5	0	ascertain	ascertained	&s@teIn	&s@teInd	reg
1677	93	ask	asked	A:sk	A:skt	reg
2	0	asphalt	asphalted	&sf<	&sf&ltId	reg
6	0	aspire	aspired	@spaI@r*	@spaI@d	reg
8	0	assail	assailed	@seIl	@seIld	reg
8	0	assassinate	assassinated	@s&sIneIt	@s&sIneItId	reg
11	1	assault	assaulted	@sO:lt	@sO:ltId	reg
1	0	assay	assayed	@seI	@seId	reg
57	3	assemble	assembled	@sEmbl,	@sEmbl,d	reg
2	0	assent	assented	@sEnt	@sEntId	reg
26	1	assert	asserted	@s3:t	@s3:tId	reg
27	2	assess	assessed	@sEs	@sEst	reg
53	3	assign	assigned	@saIn	@saInd	reg
11	1	assimilate	assimilated	@sImIleIt	@sImIleItId	reg
23	1	assist	assisted	@sIst	@sIstId	reg
157	9	associate	associated	@s@USIeIt	@s@USIeItId	reg
15	1	assort	assorted	@sO:t	@sO:tId	reg
4	0	assuage	assuaged	@sweIdZ	@sweIdZd	reg
147	8	assume	assumed	@sju:m	@sju:md	reg
78	4	assure	assured	@SO:r*	@SO:d	reg
43	2	astonish	astonished	@stOnIS	@stOnISt	reg
9	1	astound	astounded	@staUnd	@staUndId	reg
183	10	eat	ate	i:t	Et	irreg
1	0	atomize	atomized	&t@UmaIz	&t@UmaIzd	reg
1	0	atone	atoned	@t@Un	@t@Und	reg
2	0	atrophy	atrophied	&tr@fI	&tr@fId	reg
135	8	attach	attached	@t&tS	@t&tSt	reg
100	6	attack	attacked	@t&k	@t&kt	reg
19	1	attain	attained	@teIn	@teInd	reg
105	6	attempt	attempted	@tEmpt	@tEmptId	reg
95	5	attend	attended	@tEnd	@tEndId	reg
4	0	attenuate	attenuated	@tEnjUeIt	@tEnjUeItId	reg
3	0	attest	attested	@tEst	@tEstId	reg
3	0	attire	attired	@taI@r*	@taI@d	reg
85	5	attract	attracted	@tr&kt	@tr&ktId	reg
1	0	auction	auctioned	O:kSn,	O:kSn,d	reg
1	0	audit	audited	O:dIt	O:dItId	reg
1	0	audition	auditioned	O:dISn,	O:dISn,d	reg
7	0	augment	augmented	O:gmEnt	O:gmEntId	reg
1	0	augur	augured	O:g@r*	O:g@d	reg
3	0	authenticate	authenticated	O:TEntIkeIt	O:TEntIkeItId	reg
22	1	authorize	authorized	O:T@raIz	O:T@raIzd	reg
1	0	autograph	autographed	O:t@grA:f	O:t@grA:ft	reg
10	1	automate	automated	O:t@UmeIt	O:t@UmeItId	reg
2	0	avail	availed	@veIl	@veIld	reg
2	0	avenge	avenged	@vEndZ	@vEndZd	reg
8	0	average	averaged	&v@rIdZ	&v@rIdZd	reg
1	0	aver	averred	@v3:r*	@v3:d	reg
14	1	avert	averted	@v3:t	@v3:tId	reg
84	5	avoid	avoided	@vOId	@vOIdId	reg
1	0	avow	avowed	@vaU	@vaUd	reg
21	1	await	awaited	@weIt	@weItId	reg
23	1	awaken	awakened	@weIk@n	@weIk@nd	reg
39	2	award	awarded	@wO:d	@wO:dId	reg
9	1	awe	awed	O:	O:d	reg
20	1	awake	awoke	@weIk	@w@Uk	irreg
4	0	babble	babbled	b&bl,	b&bl,d	reg
1	0	backdate	backdated	b&kdeIt	b&kdeItId	reg
73	4	back	backed	b&k	b&kt	reg
2	0	backfire	backfired	b&kfaI@r*	b&kfaI@d	reg
1	0	backtrack	backtracked	b&ktr&k	b&ktr&kt	reg
9	1	bid	bade	bId	b&d	irreg
2	0	badger	badgered	b&dZ@r*	b&dZ@d	reg
22	1	baffle	baffled	b&fl,	b&fl,d	reg
1	0	bag	bagged	b&g	b&gd	reg
2	0	bail	bailed	beIl	beIld	reg
9	1	bait	baited	beIt	beItId	reg
40	2	bake	baked	beIk	beIkt	reg
68	4	balance	balanced	b&l@ns	b&l@nst	reg
4	0	balk	balked	bO:k	bO:kt	reg
1	0	balloon	ballooned	b@lu:n	b@lu:nd	reg
1	0	bamboozle	bamboozled	b&mbu:zl,	b&mbu:zl,d	reg
8	0	bandage	bandaged	b&ndIdZ	b&ndIdZd	reg
4	0	band	banded	b&nd	b&ndId	reg
2	0	bandy	bandied	b&ndI	b&ndId	reg
22	1	bang	banged	b&N	b&Nd	reg
13	1	banish	banished	b&nIS	b&nISt	reg
8	0	bank	banked	b&Nk	b&Nkt	reg
1	0	bankrupt	bankrupted	b&NkrVpt	b&NkrVptId	reg
46	3	ban	banned	b&n	b&nd	reg
10	1	baptize	baptized	b&ptaIz	b&ptaIzd	reg
10	1	bare	bared	bE@r*	bE@d	reg
6	0	bargain	bargained	bA:gIn	bA:gInd	reg
2	0	barge	barged	bA:dZ	bA:dZd	reg
11	1	bark	barked	bA:k	bA:kt	reg
18	1	bar	barred	bA:r*	bA:d	reg
2	0	barricade	barricaded	b&rIkeId	b&rIkeIdId	reg
1	0	barter	bartered	bA:t@r*	bA:t@d	reg
5	0	bash	bashed	b&S	b&St	reg
4	0	bask	basked	bA:sk	bA:skt	reg
1	0	baste	basted	beIst	beIstId	reg
9	1	bath	bathed	bA:T	bA:Tt	reg
12	1	bathe	bathed	beID	beIDd	reg
5	0	bat	batted	b&t	b&tId	reg
46	3	batter	battered	b&t@r*	b&t@d	reg
6	0	battle	battled	b&tl,	b&tl,d	reg
4	0	bawl	bawled	bO:l	bO:ld	reg
1	0	bay	bayed	beI	beId	reg
1	0	bayonet	bayoneted	beI@nIt	beI@nItId	reg
2	0	beach	beached	bi:tS	bi:tSt	reg
5	0	bead	beaded	bi:d	bi:dId	reg
14	1	beam	beamed	bi:m	bi:md	reg
1	0	beatify	beatified	bi:&tIfaI	bi:&tIfaId	reg
1198	67	become	became	bIkVm	bIkeIm	irreg
14	1	beckon	beckoned	bEk@n	bEk@nd	reg
10	1	bed	bedded	bEd	bEdId	reg
3	0	bedevil	bedevilled	bIdEvl,	bIdEvl,d	reg
5	0	befall	befell	bIfO:l	bIfEl	irreg
3	0	befit	befitted	bIfIt	bIfItId	reg
1	0	befoul	befouled	bIfaUl	bIfaUld	reg
4	0	befriend	befriended	bIfrEnd	bIfrEndId	reg
2	0	befuddle	befuddled	bIfVdl,	bIfVdl,d	reg
1598	89	begin	began	bIgIn	bIg&n	irreg
1	0	beget	begat	bIgEt	bIg&t	irreg
37	2	beg	begged	bEg	bEgd	reg
2	0	beget	begot	bIgEt	bIgOt	irreg
1	0	begrudge	begrudged	bIgrVdZ	bIgrVdZd	reg
1	0	beguile	beguiled	bIgaIl	bIgaIld	reg
41	2	behave	behaved	bIheIv	bIheIvd	reg
3	0	behead	beheaded	bIhEd	bIhEdId	reg
2	0	behold	beheld	bIh@Uld	bIhEld	irreg
1	0	behove	behoved	bIh@Uv	bIh@Uvd	reg
1	0	belabour	belaboured	bIleIb@r*	bIleIb@d	reg
2	0	belay	belayed	bIleI	bIleId	reg
5	0	belch	belched	bEltS	bEltSt	reg
5	0	beleaguer	beleaguered	bIli:g@r*	bIli:g@d	reg
3	0	belie	belied	bIlaI	bIlaId	reg
337	19	believe	believed	bIli:v	bIli:vd	reg
2	0	belittle	belittled	bIlItl,	bIlItl,d	reg
10	1	bellow	bellowed	bEl@U	bEl@Ud	reg
84	5	belong	belonged	bIlON	bIlONd	reg
1	0	belt	belted	bElt	bEltId	reg
1	0	bemoan	bemoaned	bIm@Un	bIm@Und	reg
1	0	bemuse	bemused	bImju:z	bImju:zd	reg
17	1	benefit	benefited	bEnIfIt	bEnIfItId	reg
130	7	bend	bent	bEnd	bEnt	irreg
5	0	bequeath	bequeathed	bIkwi:D	bIkwi:Dd	reg
3	0	berate	berated	bIreIt	bIreItId	reg
1	0	berth	berthed	b3:T	b3:Tt	reg
9	1	besiege	besieged	bIsi:dZ	bIsi:dZd	reg
2	0	beseech	besought	bIsi:tS	bIsO:t	irreg
10	1	bestow	bestowed	bIst@U	bIst@Ud	reg
1	0	bestride	bestrode	bIstraId	bIstr@Ud	irreg
1	0	bethink	bethought	bITINk	bITO:t	irreg
2	0	betoken	betokened	bIt@Uk@n	bIt@Uk@nd	reg
1	0	betake	betook	bIteIk	bItUk	irreg
36	2	betray	betrayed	bItreI	bItreId	reg
1	0	betroth	betrothed	bItr@UD	bItr@UDd	reg
2	0	better	bettered	bEt@r*	bEt@d	reg
34	2	bewilder	bewildered	bIwIld@r*	bIwIld@d	reg
13	1	bewitch	bewitched	bIwItS	bIwItSt	reg
16	1	bias	biassed	baI@s	baI@st	reg
6	0	bicycle	bicycled	baIsIkl,	baIsIkl,d	reg
5	0	bill	billed	bIl	bIld	reg
2	0	billet	billeted	bIlIt	bIlItId	reg
4	0	billow	billowed	bIl@U	bIl@Ud	reg
2	0	bisect	bisected	baIsEkt	baIsEktId	reg
43	2	bite	bit	baIt	bIt	irreg
1	0	bivouac	bivouacked	bIvU&k	bIvU&kt	reg
1	0	blackball	blackballed	bl&kbO:l	bl&kbO:ld	reg
2	0	black	blacked	bl&k	bl&kt	reg
15	1	blacken	blackened	bl&k@n	bl&k@nd	reg
1	0	blacklist	blacklisted	bl&klIst	bl&klIstId	reg
4	0	blackmail	blackmailed	bl&kmeIl	bl&kmeIld	reg
41	2	blame	blamed	bleIm	bleImd	reg
7	0	blanch	blanched	blA:ntS	blA:ntSt	reg
3	0	blanket	blanketed	bl&NkIt	bl&NkItId	reg
3	0	blare	blared	blE@r*	blE@d	reg
9	1	blast	blasted	blA:st	blA:stId	reg
11	1	blaze	blazed	bleIz	bleIzd	reg
1	0	blazon	blazoned	bleIzn,	bleIzn,d	reg
11	1	bleach	bleached	bli:tS	bli:tSt	reg
1	0	bleat	bleated	bli:t	bli:tId	reg
14	1	bleed	bled	bli:d	blEd	irreg
1	0	blemish	blemished	blEmIS	blEmISt	reg
1	0	blench	blenched	blEntS	blEntSt	reg
10	1	blend	blended	blEnd	blEndId	reg
20	1	bless	blessed	blEs	blEst	reg
96	5	blow	blew	bl@U	blu:	irreg
5	0	blight	blighted	blaIt	blaItId	reg
11	1	blind	blinded	blaInd	blaIndId	reg
4	0	blindfold	blindfolded	blaIndf@Uld	blaIndf@UldId	reg
20	1	blink	blinked	blINk	blINkt	reg
4	0	blister	blistered	blIst@r*	blIst@d	reg
5	0	blitz	blitzed	blIts	blItst	reg
1	0	bloat	bloated	bl@Ut	bl@UtId	reg
1	0	blockade	blockaded	blOkeId	blOkeIdId	reg
37	2	block	blocked	blOk	blOkt	reg
3	0	blood	blooded	blVd	blVdId	reg
3	0	bloom	bloomed	blu:m	blu:md	reg
5	0	blossom	blossomed	blOs@m	blOs@md	reg
7	0	blot	blotted	blOt	blOtId	reg
2	0	bludgeon	bludgeoned	blVdZ@n	blVdZ@nd	reg
1	0	blue	blued	blu:	blu:d	reg
1	0	bluff	bluffed	blVf	blVft	reg
6	0	blunder	blundered	blVnd@r*	blVnd@d	reg
5	0	blunt	blunted	blVnt	blVntId	reg
28	2	blur	blurred	bl3:r*	bl3:d	reg
21	1	blush	blushed	blVS	blVSt	reg
1	0	bluster	blustered	blVst@r*	blVst@d	reg
20	1	board	boarded	bO:d	bO:dId	reg
13	1	boast	boasted	b@Ust	b@UstId	reg
11	1	bob	bobbed	bOb	bObd	reg
2	0	bode	boded	b@Ud	b@UdId	reg
1	0	boggle	boggled	bOgl,	bOgl,d	reg
56	3	boil	boiled	bOIl	bOIld	reg
3	0	bolster	bolstered	b@Ulst@r*	b@Ulst@d	reg
13	1	bolt	bolted	b@Ult	b@UltId	reg
4	0	bombard	bombarded	bOmbA:d	bOmbA:dId	reg
13	1	bomb	bombed	bOm	bOmd	reg
2	0	bond	bonded	bOnd	bOndId	reg
1	0	booby-trap	booby-trapped	bu:bItr&p	bu:bItr&pt	reg
2	0	boo	booed	bu:	bu:d	reg
34	2	book	booked	bUk	bUkt	reg
16	1	boom	boomed	bu:m	bu:md	reg
8	0	boost	boosted	bu:st	bu:stId	reg
1	0	boot	booted	bu:t	bu:tId	reg
1	0	bop	bopped	bOp	bOpt	reg
9	1	border	bordered	bO:d@r*	bO:d@d	reg
73	4	bear	bore	bE@r*	bO:r*	irreg
89	5	bore	bored	bO:r*	bO:d	reg
46	3	borrow	borrowed	bOr@U	bOr@Ud	reg
3	0	boss	bossed	bOs	bOst	reg
3	0	botch	botched	bOtS	bOtSt	reg
71	4	bother	bothered	bOD@r*	bOD@d	reg
12	1	bottle	bottled	bOtl,	bOtl,d	reg
1	0	bottle-feed	bottle-fed	bOtl,fi:d	bOtl,fEd	irreg
316	18	buy	bought	baI	bO:t	irreg
23	1	bounce	bounced	baUns	baUnst	reg
32	2	bind	bound	baInd	baUnd	irreg
14	1	bound	bounded	baUnd	baUndId	reg
1	0	bowdlerize	bowdlerized	baUdl@raIz	baUdl@raIzd	reg
6	0	bow	bowed	b@U	b@Ud	reg
34	2	bow	bowed	baU	baUd	reg
23	1	bowl	bowled	b@Ul	b@Uld	reg
3	0	box	boxed	bOks	bOkst	reg
1	0	box	boxed	bOks	bOkst	reg
1	0	boycott	boycotted	bOIkOt	bOIkOtId	reg
11	1	brace	braced	breIs	breIst	reg
3	0	bracket	bracketed	br&kIt	br&kItId	reg
2	0	brag	bragged	br&g	br&gd	reg
6	0	braid	braided	breId	breIdId	reg
7	0	brainwash	brainwashed	breInwOS	breInwOSt	reg
1	0	braise	braised	breIz	breIzd	reg
1	0	break	brake	breIk	breIk	irreg
3	0	brake	braked	breIk	breIkt	reg
4	0	branch	branched	brA:ntS	brA:ntSt	reg
7	0	brand	branded	br&nd	br&ndId	reg
3	0	brandish	brandished	br&ndIS	br&ndISt	reg
2	0	brave	braved	breIv	breIvd	reg
2	0	breach	breached	bri:tS	bri:tSt	reg
2	0	breakfast	breakfasted	brEkf@st	brEkf@stId	reg
1	0	breast	breasted	brEst	brEstId	reg
42	2	breathe	breathed	bri:D	bri:Dd	reg
31	2	breed	bred	bri:d	brEd	irreg
1	0	breeze	breezed	bri:z	bri:zd	reg
7	0	brew	brewed	bru:	bru:d	reg
7	0	bribe	bribed	braIb	braIbd	reg
4	0	bridge	bridged	brIdZ	brIdZd	reg
3	0	bridle	bridled	braIdl,	braIdl,d	reg
11	1	brief	briefed	bri:f	bri:ft	reg
9	1	brighten	brightened	braItn,	braItn,d	reg
4	0	brim	brimmed	brIm	brImd	reg
6	0	bristle	bristled	brIsl,	brIsl,d	reg
4	0	broach	broached	br@UtS	br@UtSt	reg
7	0	broaden	broadened	brO:dn,	brO:dn,d	reg
1	0	brocade	brocaded	br@UkeId	br@UkeIdId	reg
2	0	broil	broiled	brOIl	brOIld	reg
286	16	break	broke	breIk	br@Uk	irreg
4	0	bronze	bronzed	brOnz	brOnzd	reg
9	1	brood	brooded	bru:d	bru:dId	reg
1	0	brook	brooked	brUk	brUkt	reg
892	50	bring	brought	brIN	brO:t	irreg
5	0	brown	browned	braUn	braUnd	reg
2	0	browse	browsed	braUz	braUzd	reg
25	1	bruise	bruised	bru:z	bru:zd	reg
44	2	brush	brushed	brVS	brVSt	reg
2	0	brutalize	brutalized	bru:t@laIz	bru:t@laIzd	reg
6	0	bubble	bubbled	bVbl,	bVbl,d	reg
3	0	buck	bucked	bVk	bVkt	reg
8	0	buckle	buckled	bVkl,	bVkl,d	reg
1	0	bud	budded	bVd	bVdId	reg
2	0	budge	budged	bVdZ	bVdZd	reg
2	0	budget	budgeted	bVdZIt	bVdZItId	reg
3	0	buffet	buffeted	bVfIt	bVfItId	reg
5	0	bug	bugged	bVg	bVgd	reg
2	0	bugger	buggered	bVg@r*	bVg@d	reg
456	25	build	built	bIld	bIlt	irreg
8	0	bulge	bulged	bVldZ	bVldZd	reg
3	0	bulldoze	bulldozed	bUld@Uz	bUld@Uzd	reg
10	1	bully	bullied	bUlI	bUlId	reg
15	1	bump	bumped	bVmp	bVmpt	reg
9	1	bunch	bunched	bVntS	bVntSt	reg
13	1	bundle	bundled	bVndl,	bVndl,d	reg
1	0	bung	bunged	bVN	bVNd	reg
3	0	bungle	bungled	bVNgl,	bVNgl,d	reg
1	0	bunk	bunked	bVNk	bVNkt	reg
1	0	buoy	buoyed	bOI	bOId	reg
1	0	burble	burbled	b3:bl,	b3:bl,d	reg
7	0	burden	burdened	b3:dn,	b3:dn,d	reg
1	0	burgeon	burgeoned	b3:dZ@n	b3:dZ@nd	reg
2	0	burgle	burgled	b3:gl,	b3:gl,d	reg
127	7	bury	buried	bErI	bErId	reg
82	5	burn	burned	b3:n	b3:nd	reg
3	0	burnish	burnished	b3:nIS	b3:nISt	reg
68	4	burn	burnt	b3:n	b3:nt	irreg
1	0	burp	burped	b3:p	b3:pt	reg
3	0	burrow	burrowed	bVr@U	bVr@Ud	reg
2	0	bus	bused	bVs	bVst	reg
5	0	busy	busied	bIzI	bIzId	reg
5	0	bust	busted	bVst	bVstId	reg
6	0	bustle	bustled	bVsl,	bVsl,d	reg
6	0	butcher	butchered	bUtS@r*	bUtS@d	reg
4	0	butt	butted	bVt	bVtId	reg
7	0	butter	buttered	bVt@r*	bVt@d	reg
15	1	button	buttoned	bVtn,	bVtn,d	reg
3	0	buttress	buttressed	bVtrIs	bVtrIst	reg
10	1	buzz	buzzed	bVz	bVzd	reg
6	0	bypass	bypassed	baIpA:s	baIpA:st	reg
6	0	cable	cabled	keIbl,	keIbl,d	reg
3	0	cackle	cackled	k&kl,	k&kl,d	reg
7	0	cage	caged	keIdZ	keIdZd	reg
3	0	cajole	cajoled	k@dZ@Ul	k@dZ@Uld	reg
6	0	cake	caked	keIk	keIkt	reg
1	0	calcine	calcined	k&lsaIn	k&lsaInd	reg
68	4	calculate	calculated	k&lkjUleIt	k&lkjUleItId	reg
1498	84	call	called	kO:l	kO:ld	reg
13	1	calm	calmed	kA:m	kA:md	reg
3127	174	come	came	kVm	keIm	irreg
